ZipCode,State,CombinedRate
35453,AL,0.09
35456,AL,0.09
35457,AL,0.09
35458,AL,0.09
35459,AL,0.07
35460,AL,0.07
35461,AL,0.08
35462,AL,0.1
35463,AL,0.09
35464,AL,0.07
35466,AL,0.08
35468,AL,0.09
35469,AL,0.07
35470,AL,0.07
35471,AL,0.08
35473,AL,0.09
35474,AL,0.07
35475,AL,0.09
35476,AL,0.09
35477,AL,0.07
35478,AL,0.09
35480,AL,0.09
35481,AL,0.08
35482,AL,0.09
35486,AL,0.09
35487,AL,0.09
35490,AL,0.09
35491,AL,0.07
35501,AL,0.09
35502,AL,0.09
35503,AL,0.06
35504,AL,0.06
35540,AL,0.06
35541,AL,0.06
35542,AL,0.06
35543,AL,0.09
35544,AL,0.06
35545,AL,0.07
35546,AL,0.06
35548,AL,0.09
35549,AL,0.09
35550,AL,0.06
35551,AL,0.075
35552,AL,0.06
35553,AL,0.06
35554,AL,0.06
35555,AL,0.06
35559,AL,0.07
35560,AL,0.06
35563,AL,0.09
35564,AL,0.08
35565,AL,0.09
35570,AL,0.09
35571,AL,0.06
35572,AL,0.06
35573,AL,0.07
35574,AL,0.06
35575,AL,0.08
35576,AL,0.06
35577,AL,0.07
35578,AL,0.06
35579,AL,0.06
35580,AL,0.06
35581,AL,0.06
35582,AL,0.085
35584,AL,0.08
35585,AL,0.06
35586,AL,0.06
35587,AL,0.06
35592,AL,0.06
35593,AL,0.06
35594,AL,0.09
35601,AL,0.09
35602,AL,0.09
35603,AL,0.09
35610,AL,0.055
35611,AL,0.09
35612,AL,0.09
35613,AL,0.06
35614,AL,0.06
35615,AL,0.08
35616,AL,0.055
35617,AL,0.055
35618,AL,0.07
35619,AL,0.07
35620,AL,0.06
35621,AL,0.07
35622,AL,0.07
35630,AL,0.085
35631,AL,0.085
35632,AL,0.085
35633,AL,0.055
35634,AL,0.055
35640,AL,0.09
35643,AL,0.07
35645,AL,0.055
35646,AL,0.055
35647,AL,0.06
35648,AL,0.055
35649,AL,0.08
35650,AL,0.07
35651,AL,0.07
35652,AL,0.055
35653,AL,0.09
35654,AL,0.06
35660,AL,0.09
35661,AL,0.09
35670,AL,0.07
35671,AL,0.06
35672,AL,0.07
35673,AL,0.07
35674,AL,0.09
35677,AL,0.055
35739,AL,0.06
35740,AL,0.09
35741,AL,0.055
35742,AL,0.06
35744,AL,0.06
35745,AL,0.06
35746,AL,0.06
35747,AL,0.05
35748,AL,0.055
35749,AL,0.055
35750,AL,0.055
35751,AL,0.06
35752,AL,0.09
35754,AL,0.07
35755,AL,0.08
35756,AL,0.06
35757,AL,0.055
35758,AL,0.09
35759,AL,0.055
35760,AL,0.055
35761,AL,0.055
35762,AL,0.09
35763,AL,0.09
35764,AL,0.06
35765,AL,0.06
35766,AL,0.06
35767,AL,0.055
35768,AL,0.09
35769,AL,0.09
35771,AL,0.06
35772,AL,0.075
35773,AL,0.055
35774,AL,0.06
35775,AL,0.07
35776,AL,0.06
35801,AL,0.09
35802,AL,0.09
35803,AL,0.09
35804,AL,0.09
35805,AL,0.09
35806,AL,0.09
35807,AL,0.09
35808,AL,0.055
35809,AL,0.09
35810,AL,0.09
35811,AL,0.055
35812,AL,0.09
35813,AL,0.09
35814,AL,0.09
35815,AL,0.09
35816,AL,0.09
35824,AL,0.09
35893,AL,0.09
35894,AL,0.09
35895,AL,0.09
35896,AL,0.09
35897,AL,0.055
35899,AL,0.09
35901,AL,0.09
35902,AL,0.09
35903,AL,0.09
35904,AL,0.09
35905,AL,0.09
35906,AL,0.09
35907,AL,0.09
35950,AL,0.08
35951,AL,0.08
35952,AL,0.05
35953,AL,0.06
35954,AL,0.05
35956,AL,0.05
35957,AL,0.08
35958,AL,0.06
35959,AL,0.075
35960,AL,0.075
35961,AL,0.05
35962,AL,0.05
35963,AL,0.05
35964,AL,0.08
35966,AL,0.06
35967,AL,0.08
35968,AL,0.05
35971,AL,0.05
35972,AL,0.05
35973,AL,0.075
35974,AL,0.065
35975,AL,0.05
35976,AL,0.07
35978,AL,0.09
35979,AL,0.05
35980,AL,0.05
35981,AL,0.07
35983,AL,0.075
35984,AL,0.05
35986,AL,0.09
35987,AL,0.08
35988,AL,0.09
35989,AL,0.05
35990,AL,0.08
36003,AL,0.06
36005,AL,0.06
